unstop_id,full_name,college_email,college_name,city,registration_time,weekly_challenge_id,utm_source,utm_campaign,browser_fingerprint
UN-00300,Raghauji calm,raghauji.calm@nit-trichy.ac.in,NIT-TRICHY,Pune,2024-01-02T03:16:32Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,53ee979f-4320-5a92-3412-45098cbc451b
UN-00301,Sreekanth finances,sreekanth.finances@dtu.ac.in,DTU,Thrissur,2024-01-01T13:56:02Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,906c2f11-9f31-c134-94c5-5361c06cc65f
UN-00302,Sumit Sonar,sumit.sonar@iitd.ac.in,IITD,Bid,2024-01-02T05:21:26Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,f7b6829d-834c-72f6-f056-f0b1695c35f1
UN-00303,Urmitra Devi,urmitra.devi@iitb.ac.in,IITB,Kanpur Dehat,2024-01-02T14:58:40Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,30f8cee4-37d4-bdb7-5afa-6993fffe75c6
UN-00304,Urmitra steadfast,urmitra.steadfast@nit-trichy.ac.in,NIT-TRICHY,Rae Bareli,2024-01-01T06:58:00Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,b225746a-89bb-f9f5-994d-1aecc0d34673
UN-00305,Balamani duties,balamani.duties@nit-trichy.ac.in,NIT-TRICHY,Nalgonda,2024-01-01T04:00:14Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,a33c3b78-fa4c-14b2-7cb1-8d3cc49206f1
UN-00306,Chandra mindset,chandra.mindset@iitd.ac.in,IITD,Dumka,2024-01-01T07:01:26Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,e480c0dd-99b0-e82c-33a0-432206e33fd7
UN-00307,Ritu disciplined,ritu.disciplined@vit.ac.in,VIT,Palwal,2024-01-01T02:09:57Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,b7c89d45-94b2-5d68-7626-cbeb1cbaa79f
UN-00308,Amar Shankar,amar.shankar@iitd.ac.in,IITD,Gorakhpur,2024-01-01T03:55:42Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,bf3e94be-6702-c663-a7ec-652bc6d056fb
UN-00309,Mahadevi cuisine,mahadevi.cuisine@bits-pilani.ac.in,BITS-PILANI,Belgaum,2024-01-02T06:38:09Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,86f52d89-f51a-ab5a-cbfd-8cf40fe1cb5a
UN-00310,Venkataraman Ramreddi,venkataraman.ramreddi@nit-trichy.ac.in,NIT-TRICHY,Karimnagar,2024-01-01T08:15:11Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,11fafda2-463b-dc24-8bdd-14400ab0090e
UN-00311,Heera Adis,heera.adis@iitd.ac.in,IITD,Jyotiba Phule Nagar,2024-01-01T05:20:44Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,431e1d88-0f64-ea9f-ba5f-153dcfb02e5e
UN-00312,Jamila Khatun,jamila.khatun@dtu.ac.in,DTU,Patna,2024-01-01T07:15:27Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,dc7d3a37-6f54-ae99-7892-47c46d795841
UN-00313,Tej Vishvak,tej.vishvak@srm.ac.in,SRM,Morena,2024-01-01T03:43:41Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,cf663d08-a0db-9b47-c937-49fa292686cc
UN-00314,Jagdish ambitions,jagdish.ambitions@nit-trichy.ac.in,NIT-TRICHY,Jodhpur,2024-01-02T08:38:10Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,9f7d1567-ed48-373d-5acc-b0bcdb4d1307
UN-00315,Durgaprasad structured,durgaprasad.structured@iitk.ac.in,IITK,Indore,2024-01-02T11:35:08Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,4949e4c0-12a2-d56f-a172-870b2f845e93
UN-00316,Abdul Rahman,abdul.rahman@iitk.ac.in,IITK,Kozhikode,2024-01-01T04:42:35Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,3b5a038a-39ce-1c10-f1f3-872721021956
UN-00317,Ramulu Kadali,ramulu.kadali@manipal.ac.in,MANIPAL,Y.S.R.,2024-01-01T03:40:47Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,9461c049-92aa-3d8e-cff3-b1e2c117d1a2
UN-00318,Kaki tunes,kaki.tunes@iitb.ac.in,IITB,Karimnagar,2024-01-02T05:02:53Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,59f45d0a-f82e-4dd4-0a87-e1bebf9d43fe
UN-00319,Shailaja entrepreneurship,shailaja.entrepreneurship@iitd.ac.in,IITD,Mysore,2024-01-02T12:58:38Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,62b75e9b-f578-9988-2792-e3ad5d25785c
UN-00320,Bharani arts,bharani.arts@vit.ac.in,VIT,Vizianagaram,2024-01-02T12:45:33Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,d3279d52-2551-cd03-d3f3-827ba0695d89
UN-00321,Yasmina Khatun,yasmina.khatun@manipal.ac.in,MANIPAL,Murshidabad,2024-01-01T11:18:59Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,70085684-217a-39a9-0892-cf6b011a73c2
UN-00322,Susheela chores,susheela.chores@iitb.ac.in,IITB,Purnia,2024-01-02T09:12:12Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,8490bcf3-b60b-d782-56cd-61b15e3c7c60
UN-00323,Muniyandi painting,muniyandi.painting@iitd.ac.in,IITD,Kancheepuram,2024-01-01T07:39:02Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,d9c3127e-70ee-bf48-d90c-154a5f26e8bb
UN-00324,Mamta Jain,mamta.jain@dtu.ac.in,DTU,North West,2024-01-02T13:53:16Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,5b5d3ea3-fbf5-4b58-4271-30ecd86b8e19
UN-00325,Basudev Yadav,basudev.yadav@manipal.ac.in,MANIPAL,Vaishali,2024-01-01T03:03:59Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,d99e9619-6bf5-af05-0c50-248e6526557b
UN-00326,Gurpreet drive,gurpreet.drive@iitk.ac.in,IITK,Sahibzada Ajit Singh Nagar,2024-01-01T08:09:24Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,d48d4d66-30c6-4ae4-1650-015c5a4f6af2
UN-00327,Marina Liegise,marina.liegise@iitb.ac.in,IITB,Longleng,2024-01-01T07:39:19Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,d690dacc-bdc4-0285-e26a-12405437601f
UN-00328,Hari memory,hari.memory@manipal.ac.in,MANIPAL,Faridabad,2024-01-01T03:05:09Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,4382445a-435e-82d3-00cb-f522090c32db
UN-00329,Bhagirathi Dasara,bhagirathi.dasara@bits-pilani.ac.in,BITS-PILANI,Raichur,2024-01-02T05:14:47Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,83e79f30-f9a7-2859-be0d-0fe8bd703151
UN-00330,Sanjeev Kumar,sanjeev.kumar@manipal.ac.in,MANIPAL,Kangra,2024-01-02T06:43:23Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,d5e14ed0-d22d-152d-7a85-19ee0fadf4e8
UN-00331,Nishith Mohont,nishith.mohont@iitd.ac.in,IITD,Paschim Medinipur,2024-01-01T10:35:48Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,258323a7-65d5-b979-5a84-8b1619b2bbd8
UN-00332,Eswaramma calm,eswaramma.calm@srm.ac.in,SRM,Guntur,2024-01-02T06:18:05Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,0759fd47-570c-3581-8dd5-c2cb4910dc13
UN-00333,Laili songs,laili.songs@nit-trichy.ac.in,NIT-TRICHY,Dhubri,2024-01-02T13:42:14Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,ec8b493c-3fbe-afa6-bfa8-bbc46a7e1471
UN-00334,Nathu pragmatic,nathu.pragmatic@iitb.ac.in,IITB,Jhunjhunun,2024-01-01T05:26:23Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,b185b689-77e2-54dc-d6c8-7d6295214102
UN-00335,Prem Kumar,prem.kumar@iitb.ac.in,IITB,Namakkal,2024-01-01T03:55:16Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,c4ff2380-7a37-9b6a-2b4d-17e12953c9e2
UN-00336,Bhagavati soul,bhagavati.soul@iitd.ac.in,IITD,Theni,2024-01-01T05:14:03Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,a2568202-27bc-0766-6e6e-851738b9a7aa
UN-00337,Roysonara flair,roysonara.flair@bits-pilani.ac.in,BITS-PILANI,North Twenty Four Parganas,2024-01-01T04:29:19Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,ae42cf4f-3b8c-bb78-d0b8-4d1b2ba3328b
